year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,173247.0,128108.082927
2018,173247.0,128108.082927
2019,173247.0,128108.082927
2020,173247.0,128108.082927
2021,173247.0,128108.082927
2022,173247.0,128108.082927
2023,173247.0,128108.082927
2024,173247.0,128108.082927
2025,173247.0,128108.082927
2026,173247.0,128108.082927
2027,173247.0,128108.082927
2028,173247.0,128108.082927
2029,173247.0,128108.082927
2030,173247.0,128108.082927
2031,173247.0,128108.082927
2032,,
2033,,
2034,,
2035,,
2036,,
