year,Base case cost,Modeled biomass for heat (pellet)
2017,40815.6567067,51496.773158
2018,45583.5867067,54898.0061158
2019,51940.8267067,59432.9833929
2020,55119.4467067,61700.4720315
2021,57238.5267067,63212.1311238
2022,59004.4267067,64471.8470341
2023,60063.9667067,65227.6765803
2024,60946.9167067,65857.5345355
2025,62183.0467067,66739.3356727
2026,63595.7667067,67747.1084009
2027,64655.3067067,68502.9379471
2028,65714.8467067,69258.7674933
2029,66950.9767067,70140.5686305
2030,67657.3367067,70644.4549946
2031,69070.0567067,71652.2277229
2032,,
2033,,
2034,,
2035,,
2036,,
