year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,17658.9909995,13067.6533396
2018,17658.9909995,13067.6533396
2019,17658.9909995,13067.6533396
2020,17658.9909995,13067.6533396
2021,17658.9909995,13067.6533396
2022,17658.9909995,13067.6533396
2023,17658.9909995,13067.6533396
2024,17658.9909995,13067.6533396
2025,17658.9909995,13067.6533396
2026,17658.9909995,13067.6533396
2027,17658.9909995,13067.6533396
2028,17658.9909995,13067.6533396
2029,17658.9909995,13067.6533396
2030,17658.9909995,13067.6533396
2031,17658.9909995,13067.6533396
