year,Base case diesel consumed,Lake redfield
2021,427554.833618,239407.986683
2022,427084.993142,238938.146207
2023,426548.032597,238401.185662
2024,426346.672393,238199.825458
2025,425541.231576,237394.384641
2026,424467.310487,236320.463552
2027,423259.149262,235112.302327
2028,422252.348241,234105.501305
2029,421245.547219,233098.700284
2030,420372.986335,232226.139399
2031,419366.185313,231219.338378
2032,417956.663884,229809.816949
2033,416278.662182,228131.815247
2034,414802.020685,226655.173749
2035,413392.499255,225245.65232
2036,412318.578166,224171.731231
2037,411311.777145,223164.93021
2038,410304.976124,222158.129189
2039,409163.934967,221017.088031
2040,408224.254014,220077.407078
2041,407217.452992,219070.606057
2042,406210.651971,218063.805036
2043,405203.85095,217057.004015
2044,404599.770338,216452.923403
2045,403525.849248,215379.002313
2046,402854.648568,214707.801633
2047,402049.207751,213902.360816
2048,401310.887002,213164.040067
2049,400706.806389,212559.959454
2050,399968.485641,211821.638706
