year,Base case cost,Modeled diesel efficiency
2019,1219593.11529,1553413.35864
2020,1303031.41431,1629266.35775
2021,1359624.37091,1680714.50011
2022,1405109.62744,1722064.73332
2023,1433201.38953,1747602.69885
2024,1458105.61958,1770242.908
2025,1485138.8982,1794818.61583
2026,1519592.97154,1826140.50069
2027,1549128.4863,1852990.96865
2028,1570778.73545,1872673.01334
2029,1600733.07943,1899904.23513
2030,1618435.99739,1915997.79691
2031,1656496.43199,1950598.192
2032,1688544.92209,1979733.183
2033,1719230.87481,2007629.50366
2034,1754612.5475,2039794.66064
2035,1773453.8218,2056923.09183
2036,1810078.55815,2090218.30669
2037,1830337.40829,2108635.44319
2038,1870990.69112,2145592.97303
