year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.82
2001,,,1.51
2003,,1.21,1.78
2004,,1.64,2.25
2005,,2.25,3.01
2008,,4.1,4.15
2009,,3.11,3.57
2010,,3.24,3.65
2011,,4.0,4.42
2012,,4.34,5.12
2013,,4.14,5.32
2014,,,5.41
2016,start of forecast,1.73,2.17
2017,,2.13,2.57
2018,,2.43,2.87
2019,,2.84,3.28
2020,,3.04,3.48
2021,,3.18,3.62
2022,,3.29,3.73
2023,,3.36,3.8
2024,,3.42,3.86
2025,,3.49,3.93
2026,,3.58,4.02
2027,,3.66,4.1
2028,,3.72,4.16
2029,,3.8,4.24
2030,,3.85,4.29
2031,,3.95,4.39
2032,,4.04,4.48
2033,,4.13,4.57
2034,,4.23,4.67
2035,,4.29,4.73
2036,,4.39,4.83
2037,,4.45,4.89
2038,,4.56,5.0
2039,,4.63,5.07
2040,,4.74,5.18
