year,Base case cost,Lake redfield
2021,1359624.37091,3150938.05538
2022,1405109.62744,3177665.82986
2023,1433201.38953,3193821.01247
2024,1458105.61958,3208493.88868
2025,1485138.8982,3223590.58782
2026,1519592.97154,3242697.6304
2027,1549128.4863,3258591.34003
2028,1570778.73545,3270010.23534
2029,1600733.07943,3286322.7742
2030,1618435.99739,3295499.56395
2031,1656496.43199,3316507.74215
2032,1688544.92209,3333209.20149
2033,1719230.87481,3348548.12344
2034,1754612.5475,3366877.53972
2035,1773453.8218,3375487.46019
2036,1810078.55815,3395059.94013
2037,1830337.40829,3405087.43643
2038,1870990.69112,3426983.23722
2039,1894429.01889,3438484.9855
2040,1934982.96402,3460281.44859
2041,1930210.72718,3455509.21175
2042,1925438.49034,3450736.97491
2043,1920666.2535,3445964.73807
2044,1917802.9114,3443101.39597
2045,1912712.52544,3438011.01
2046,1909531.03421,3434829.51878
2047,1905713.24474,3431011.7293
2048,1902213.60439,3427512.08895
2049,1899350.26229,3424648.74685
2050,1895850.62194,3421149.1065
