year,Base case diesel consumed,Modeled residential energy efficiency
2017,45137.5299258,37536.3641191
2018,46112.0872138,38510.9214072
2019,47086.6445019,39485.4786952
2020,47573.9231459,39972.7573392
2021,48061.2017899,40460.0359832
2022,48548.4804339,40947.3146273
2023,48548.4804339,40947.3146273
2024,48548.4804339,40947.3146273
2025,49035.7590779,41434.5932713
2026,49035.7590779,41434.5932713
2027,49523.0377219,41921.8719153
2028,50010.316366,42409.1505593
2029,48548.4804339,40947.3146273
2030,47573.9231459,39972.7573392
2031,47086.6445019,39485.4786952
2032,47573.9231459,39972.7573392
2033,49035.7590779,41434.5932713
2034,50010.316366,42409.1505593
2035,50497.59501,42896.4292033
2036,50497.59501,42896.4292033
