year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,24307.2680691,17987.3783711
2018,24307.2680691,17987.3783711
2019,24307.2680691,17987.3783711
2020,24307.2680691,17987.3783711
2021,24307.2680691,17987.3783711
2022,24307.2680691,17987.3783711
2023,24307.2680691,17987.3783711
2024,24307.2680691,17987.3783711
2025,24307.2680691,17987.3783711
2026,24307.2680691,17987.3783711
2027,24307.2680691,17987.3783711
2028,24307.2680691,17987.3783711
2029,24307.2680691,17987.3783711
2030,24307.2680691,17987.3783711
2031,24307.2680691,17987.3783711
