year,Base case cost,Modeled biomass for heat (pellet)
2017,67362.5534599,78859.8456895
2018,75140.7934599,84221.8750726
2019,86322.0134599,92015.8039338
2020,91669.5534599,95652.5306113
2021,95315.6034599,98079.6651547
2022,98232.4434599,99990.6886669
2023,100177.00346,101212.110971
2024,101635.42346,102090.628269
2025,103579.98346,103319.728379
2026,106010.68346,104899.322392
2027,107955.24346,106135.744629
2028,109656.73346,107202.305015
2029,111844.36346,108619.10489
2030,113059.71346,109345.695107
2031,115733.48346,111115.943847
2032,,
2033,,
2034,,
2035,,
2036,,
