year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,24307.0,17972.8831543
2018,24307.0,17972.8831543
2019,24307.0,17972.8831543
2020,24307.0,17972.8831543
2021,24307.0,17972.8831543
2022,24307.0,17972.8831543
2023,24307.0,17972.8831543
2024,24307.0,17972.8831543
2025,24307.0,17972.8831543
2026,24307.0,17972.8831543
2027,24307.0,17972.8831543
2028,24307.0,17972.8831543
2029,24307.0,17972.8831543
2030,24307.0,17972.8831543
2031,24307.0,17972.8831543
2032,,
2033,,
2034,,
2035,,
2036,,
