year,Base case diesel consumed,Modeled diesel efficiency
2019,21735.9233166,19759.9302878
2020,21570.0002379,19609.0911253
2021,21404.0771591,19458.2519628
2022,21238.1540804,19307.4128003
2023,21072.2310016,19156.5736378
2024,20906.3079228,19005.7344753
2025,20740.3848441,18854.8953128
2026,20574.4617653,18704.0561503
2027,20408.5386866,18553.2169878
2028,20242.6156078,18402.3778253
2029,20076.6925291,18251.5386628
2030,19910.7694503,18100.6995003
2031,19744.8463716,17949.8603378
2032,19578.9232928,17799.0211753
2033,19495.9617534,17723.601594
2034,19413.0002141,17648.1820128
2035,19330.0386747,17572.7624315
2036,19247.0771353,17497.3428503
2037,19164.1155959,17421.923269
2038,19081.1540566,17346.5036878
