year,Base case cost,Elfin cove (joes creek),Elfin cove hydroelectric permitting -- crooked creek,Ernies creek (elfin cove),"Crooked creek and jims lake (elfin cove) -- crooked creek, jims lake",Crooked creek (elfin cove),Roys creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07, 136.20)"
2020,71828.1007921,,,,,,,,
2021,74486.1885137,129617.919786,,265452.399648,291769.797231,253729.540187,296444.44401,2744368.49062,538598.124591
2022,76457.3546893,128632.860692,,255320.541003,285550.921178,250194.985595,291863.999344,2687341.00738,527579.616129
2023,77545.8100859,127192.917266,,246170.132254,279387.713491,246282.556403,286968.539642,2631973.76766,516711.901098
2024,78189.5916314,125542.309884,,237585.348829,273313.596604,242225.822594,281970.504998,2578050.49714,506035.074501
2025,79228.2701044,124133.987751,,228701.975508,267362.162572,238457.834591,277261.204487,2525133.208,495598.803356
2026,80651.8901201,122957.052898,,219506.38825,261520.427278,234966.387982,272827.950605,2473182.99825,485387.559788
2027,81634.1547464,121569.944301,,210868.736863,255762.013448,231327.206944,268287.242442,2422593.221,475353.802688
2028,82387.4455239,120087.730494,,202572.896877,250095.694888,227649.47385,263737.489997,2373236.67296,465508.549899
2029,83519.040921,118827.569815,,193947.708063,244523.771343,224235.209572,259449.329225,2324757.73586,455865.74192
2030,83824.3393859,117162.488012,,186335.27628,239043.20268,220484.093163,254883.869823,2277797.35797,446392.005482
2031,85297.7363252,116121.902381,,177476.665243,233638.500964,217377.979091,250919.420519,2231204.43151,437116.292751
2032,86538.8409543,114979.503246,,168943.353477,228311.683767,214221.906278,246932.7829,2185737.31453,428005.725402
2033,88121.7471256,114212.171959,,160881.320003,223433.560153,211487.009217,243384.370592,2141633.60253,419433.627767
2034,89882.1909912,113558.450917,,152698.259104,218636.641719,208906.109428,239996.29386,2098393.10905,411035.077307
2035,90851.1817711,112530.658393,,145547.253115,213953.087739,206013.671083,236354.184971,2056583.35713,402816.828753
2036,92578.4410209,111906.459639,,137575.07095,209324.475919,203549.206865,233114.682189,2015235.399,394755.812692
2037,93329.2429522,110818.129574,,130869.226577,204820.221216,200685.747488,229543.249073,1975400.02364,386877.454996
2038,95024.1472017,110221.377773,,123097.446324,200351.411375,198331.617177,226444.729739,1935856.21988,379137.629082
2039,96320.8360622,109448.092708,,115889.768588,195978.53893,195850.226355,223254.361373,1897424.25974,371562.269113
2040,98600.6191642,109396.837266,,108499.834198,192077.14383,194115.999332,220794.663346,1859904.78769,364548.439664
2041,98600.6191642,108250.285112,,104037.305412,188393.016698,191380.298172,217471.334266,1824694.33623,357770.100051
2042,98170.0487749,106700.034884,,99248.7967509,184364.665904,188278.144617,213795.325319,1789878.55931,350720.057379
2043,98170.0487749,105606.597547,,94992.9976759,180851.208493,185669.176692,210625.95174,1756299.2562,344255.729005
2044,98170.0487749,104538.787643,,90836.9438758,177420.097726,183121.356444,207530.860344,1723506.96788,337942.908303
2045,98600.6191642,103926.574927,,87208.8679916,174499.974021,181063.821131,204938.880553,1691913.81933,332208.614749
2046,98600.6191642,102908.23205,,83245.346235,171227.811814,178634.030404,201987.171388,1660640.65626,326188.239797
2047,98600.6191642,101913.756586,,79374.7195291,168032.340918,176261.187902,199104.642915,1630100.45803,320308.967398
2048,99031.1895536,101373.15953,,76025.381026,165342.334259,174374.529287,196720.244092,1600706.61608,314998.060834
2049,99461.7599429,100855.324202,,72764.6341028,162725.466097,172542.180704,194401.821083,1572011.78353,309821.720084
2050,99892.3303323,100359.71714,,69590.4024541,160180.022296,170762.8693,192147.827626,1543999.5778,304776.791352
2051,99892.3303323,99455.2469735,,66070.0879687,157273.758443,168604.781615,189526.183249,1516223.42928,299429.624248
2052,99892.3303323,98571.9753261,,62632.2808519,154435.610147,166497.274108,186965.98366,1489098.28423,294207.781371
2053,99892.3303323,97709.4053611,,59275.0473521,151663.980962,164439.161316,184465.788758,1462608.88487,289108.325454
2054,99892.3303323,96867.0518725,,55996.4989844,148957.311813,162429.285526,182024.192154,1436740.33058,284128.387994
