year,Base case cost,Modeled solar power (pv)
2016,41864.8816155,
2017,51224.6024879,
2018,58039.8929477,
2019,67598.7215147,
2020,71828.1007921,
2021,74486.1885137,
2022,76457.3546893,
2023,77545.8100859,
2024,78189.5916314,
2025,79228.2701044,
2026,80651.8901201,
2027,81634.1547464,
2028,82387.4455239,
2029,83519.040921,
2030,83824.3393859,
2031,85297.7363252,
2032,86538.8409543,
2033,88121.7471256,
2034,89882.1909912,
2035,90851.1817711,
