year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,24307.0,17339.4714697
2018,24307.0,17339.4714697
2019,24307.0,17339.4714697
2020,24307.0,17339.4714697
2021,24307.0,17339.4714697
2022,24307.0,17339.4714697
2023,24307.0,17339.4714697
2024,24307.0,17339.4714697
2025,24307.0,17339.4714697
2026,24307.0,17339.4714697
2027,24307.0,17339.4714697
2028,24307.0,17339.4714697
2029,24307.0,17339.4714697
2030,24307.0,17339.4714697
2031,24307.0,17339.4714697
2032,,
2033,,
2034,,
2035,,
2036,,
