year,Base case diesel consumed,Elfin cove (joes creek),Elfin cove hydroelectric permitting -- crooked creek,Ernies creek (elfin cove),"Crooked creek and jims lake (elfin cove) -- crooked creek, jims lake",Crooked creek (elfin cove),Roys creek (elfin cove),Wood (wood lake),"Elfin cove (margaret creek; 58.07, 136.20)"
2020,21570.0002379,,6239.0211898,,,,,,
2021,21404.0771591,10638.4253304,6073.09811105,0.0,0.0,10120.2923547,8968.88574198,0.0,0.0
2022,21238.1540804,10472.5022516,5907.17503229,0.0,0.0,9954.36927592,8802.96266323,0.0,0.0
2023,21072.2310016,10306.5791729,5741.25195354,0.0,0.0,9788.44619717,8637.03958447,0.0,0.0
2024,20906.3079228,10140.6560941,5575.32887479,0.0,0.0,9622.52311842,8471.11650572,0.0,0.0
2025,20740.3848441,9974.73301538,5409.40579604,0.0,0.0,9456.60003967,8305.19342697,0.0,0.0
2026,20574.4617653,9808.80993663,5243.48271728,0.0,0.0,9290.67696091,8139.27034822,0.0,0.0
2027,20408.5386866,9642.88685787,5077.55963853,0.0,0.0,9124.75388216,7973.34726946,0.0,0.0
2028,20242.6156078,9476.96377912,4911.63655978,0.0,0.0,8958.83080341,7807.42419071,0.0,0.0
2029,20076.6925291,9311.04070037,4745.71348102,0.0,0.0,8792.90772465,7641.50111196,0.0,0.0
2030,19910.7694503,9145.11762161,4579.79040227,0.0,0.0,8626.9846459,7475.5780332,0.0,0.0
2031,19744.8463716,8979.19454286,4413.86732352,0.0,0.0,8461.06156715,7309.65495445,0.0,0.0
2032,19578.9232928,8813.27146411,4247.94424477,0.0,0.0,8295.1384884,7143.7318757,0.0,0.0
2033,19495.9617534,8730.30992473,4164.98270539,0.0,0.0,8212.17694902,7060.77033632,0.0,0.0
2034,19413.0002141,8647.34838536,4082.02116601,0.0,0.0,8129.21540964,6977.80879695,0.0,0.0
2035,19330.0386747,8564.38684598,3999.05962664,0.0,0.0,8046.25387027,6894.84725757,0.0,0.0
2036,19247.0771353,8481.4253066,3916.09808726,0.0,0.0,7963.29233089,6811.88571819,0.0,0.0
2037,19164.1155959,8398.46376723,3833.13654788,0.0,0.0,7880.33079151,6728.92417882,0.0,0.0
2038,19081.1540566,8315.50222785,3750.17500851,0.0,0.0,7797.36925214,6645.96263944,0.0,0.0
2039,18998.1925172,8232.54068847,3667.21346913,0.0,0.0,7714.40771276,6563.00110006,0.0,0.0
2040,18998.1925172,8232.54068847,3667.21346913,0.0,0.0,7714.40771276,6563.00110006,0.0,0.0
2041,18998.1925172,8232.54068847,3667.21346913,0.0,0.0,7714.40771276,6563.00110006,0.0,0.0
2042,18915.2309778,8149.5791491,3584.25192976,0.0,0.0,7631.44617338,6480.03956069,0.0,0.0
2043,18915.2309778,8149.5791491,3584.25192976,0.0,0.0,7631.44617338,6480.03956069,0.0,0.0
2044,18915.2309778,8149.5791491,3584.25192976,0.0,0.0,7631.44617338,6480.03956069,0.0,0.0
2045,18998.1925172,8232.54068847,3667.21346913,0.0,0.0,7714.40771276,6563.00110006,0.0,0.0
2046,18998.1925172,8232.54068847,3667.21346913,0.0,0.0,7714.40771276,6563.00110006,0.0,0.0
2047,18998.1925172,8232.54068847,3667.21346913,0.0,0.0,7714.40771276,6563.00110006,0.0,0.0
2048,19081.1540566,8315.50222785,3750.17500851,0.0,0.0,7797.36925214,6645.96263944,0.0,0.0
2049,19164.1155959,8398.46376723,3833.13654788,0.0,0.0,7880.33079151,6728.92417882,0.0,0.0
