year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9645.36453981,6269.48695088
2018,9644.27723646,6268.7802037
2019,9643.89798804,6268.53369223
2020,9642.44985157,6267.59240352
2021,9641.58473282,6267.03007633
2022,9642.93078448,6267.90500991
2023,9644.43870395,6268.88515757
2024,9645.77794995,6269.75566747
2025,9646.36844054,6270.13948635
2026,9646.00747398,6269.90485808
2027,9645.55309647,6269.60951271
2028,9644.75123027,6269.08829967
2029,9645.43032781,6269.52971307
2030,9645.06522447,6269.29239591
2031,9646.09674815,6269.96288629
