year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,1975140.0,517646.0,1457494.0
2004,,1947986.0,522470.0,1425516.0
2005,,1845319.0,501468.0,1343851.0
2006,,1934648.0,537179.0,1397469.0
2007,,1866978.0,509110.0,1357868.0
2008,,1897489.0,508320.0,1389169.0
2009,,1901143.0,466989.0,1434154.0
2010,,2066717.0,554800.0,1511917.0
2011,,2004499.0,554065.0,1450434.0
2012,,1798991.0,606508.0,1192483.0
2013,,1663897.0,651520.0,1012377.0
2014,start of forecast,1823690.0,605259.0,1218431.0
2015,,1819129.0,600697.0,1218431.0
2016,,1816314.0,597883.0,1218431.0
2017,,1815581.0,597150.0,1218431.0
2018,,1809339.0,590908.0,1218431.0
2019,,1807162.0,588730.0,1218431.0
2020,,1798848.0,580417.0,1218431.0
2021,,1793882.0,575450.0,1218431.0
2022,,1801609.0,583178.0,1218431.0
2023,,1810266.0,591835.0,1218431.0
2024,,1817954.0,599523.0,1218431.0
2025,,1821344.0,602913.0,1218431.0
2026,,1819272.0,600841.0,1218431.0
2027,,1816663.0,598232.0,1218431.0
2028,,1812060.0,593629.0,1218431.0
2029,,1815959.0,597527.0,1218431.0
2030,,1813863.0,595431.0,1218431.0
2031,,1819784.0,601353.0,1218431.0
2032,,1812818.0,594386.0,1218431.0
2033,,1814560.0,596129.0,1218431.0
2034,,1807136.0,588705.0,1218431.0
2035,,1809951.0,591520.0,1218431.0
2036,,1806765.0,588334.0,1218431.0
2037,,1808044.0,589613.0,1218431.0
2038,,1805634.0,587203.0,1218431.0
2039,,1800242.0,581810.0,1218431.0
2040,,1795136.0,576704.0,1218431.0
