year,Base case diesel consumed,Modeled residential energy efficiency
2017,54159.0390299,43938.6544221
2018,54159.0390299,43938.6544221
2019,54159.0390299,43938.6544221
2020,54159.0390299,43938.6544221
2021,54159.0390299,43938.6544221
2022,54159.0390299,43938.6544221
2023,54159.0390299,43938.6544221
2024,54159.0390299,43938.6544221
2025,54159.0390299,43938.6544221
2026,54159.0390299,43938.6544221
2027,54159.0390299,43938.6544221
2028,54159.0390299,43938.6544221
2029,54159.0390299,43938.6544221
2030,54159.0390299,43938.6544221
2031,54159.0390299,43938.6544221
2032,54159.0390299,43938.6544221
2033,54159.0390299,43938.6544221
2034,54159.0390299,43938.6544221
2035,54159.0390299,43938.6544221
2036,54159.0390299,43938.6544221
