year,Base case cost,Modeled diesel efficiency
2019,200542.453407,370125.12735
2020,212578.825948,376665.398125
2021,221588.124693,380556.952836
2022,228067.485261,382249.314925
2023,232517.204704,382194.93855
2024,236466.627094,381781.830469
2025,241454.580808,382406.673625
2026,246971.284487,383603.831234
2027,251473.167604,383967.90971
2028,255471.592234,383961.68635
2029,261031.765641,385460.574195
2030,264422.404436,385070.497274
2031,270537.409646,387238.503221
2032,276149.746727,389029.016831
2033,282298.737361,391385.013166
2034,288465.115886,393832.613462
2035,292559.173918,394470.306294
2036,298757.166791,397092.952585
2037,302352.508487,397420.143597
2038,308581.325349,400210.339699
