year,annotation,diesel generation efficiency
2002,,13.0
2003,,13.08
2004,,12.75
2005,,12.8
2006,,12.99
2007,,13.11
2008,,12.88
2009,,12.63
2010,,14.14
2011,,13.17
2012,,12.5
2013,,12.65
2014,,12.59
2015,,12.71
2016,start of forecast,12.65
2017,,12.65
2018,,12.65
2019,,12.65
2020,,12.65
2021,,12.65
2022,,12.65
2023,,12.65
2024,,12.65
2025,,12.65
2026,,12.65
2027,,12.65
2028,,12.65
2029,,12.65
2030,,12.65
2031,,12.65
2032,,12.65
2033,,12.65
2034,,12.65
2035,,12.65
2036,,12.65
2037,,12.65
2038,,12.65
2039,,12.65
2040,,12.65
