year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,26966.03,166275.65,384650.65,36422.97,137009.72,221119.17
2018,29070.86,178940.04,402882.52,38330.74,144096.97,232557.24
2019,31993.44,196529.47,436850.36,40976.63,153940.37,252151.57
2020,33342.52,204620.61,448733.68,42205.82,158468.34,259568.29
2021,34342.27,210601.01,466571.82,43120.93,161815.1,268948.02
2022,35050.26,214822.48,472894.52,43772.7,164177.51,272874.52
2023,35524.11,217636.79,486368.97,44211.95,165752.46,279484.83
2024,35939.92,220099.31,490128.79,44599.33,167130.54,281808.48
2025,36473.23,223265.4,494962.85,45093.78,168902.35,284796.04
2026,37066.66,226783.29,509859.2,45645.22,170871.03,292231.48
2027,37544.02,229597.6,514237.94,46093.01,172445.97,294925.02
2028,37962.92,232060.12,518069.34,46487.82,173824.05,297281.87
2029,38558.73,235578.0,533323.58,47044.82,175792.73,304883.29
2030,38862.66,237336.95,536111.42,47338.71,176777.07,306590.47
2031,39515.71,241206.62,552189.09,47944.96,178942.62,314656.61
2032,,,557867.03,,,318118.39
2033,,,574271.91,,,326336.28
2034,,,580630.12,,,330196.4
2035,,,584676.26,,,332652.83
2036,,,601490.16,,,341060.41
