year,Base case cost,Modeled solar power (pv)
2016,130504.02744,136328.759207
2017,156038.936104,161314.269882
2018,174821.020092,179668.54664
2019,200542.453407,204859.824391
2020,212578.825948,216587.36462
2021,221588.124693,225340.736696
2022,228067.485261,231608.131578
2023,232517.204704,235881.168559
2024,236466.627094,239665.604604
2025,241454.580808,244477.422998
2026,246971.284487,249814.583072
2027,251473.167604,254155.822067
2028,255471.592234,258004.715257
2029,261031.765641,263397.064981
2030,264422.404436,266659.863634
2031,270537.409646,272607.185887
2032,276149.746727,278062.752135
2033,282298.737361,284051.522071
2034,288465.115886,290061.324249
2035,292559.173918,294030.151583
