year,Base case cost,Modeled water and wastewater efficiency
2017,63388.9958098,72958.5531708
2018,67401.6052972,73980.1433451
2019,72970.0671165,75764.035975
2020,75548.3439246,76144.9275973
2021,77463.1970575,76230.1353594
2022,78822.9622373,76070.3497856
2023,79736.0624719,75716.3226883
2024,80539.2546937,75328.7168751
2025,81567.0164323,75066.6740435
2026,82711.8715307,74879.2053959
2027,83637.0208742,74604.7970804
2028,84450.7392641,74294.125381
2029,85603.5513044,74162.5131116
2030,86201.3741486,73782.7151297
2031,87460.6704963,73732.7993921
