year,Base case cost,Modeled biomass for heat (cordwood)
2017,163930.043678,174882.878988
2018,176674.043678,183959.991392
2019,194374.043678,196718.305935
2020,202516.043678,202402.129768
2021,208534.043678,206520.176389
2022,212782.043678,209334.582733
2023,215614.043678,211107.490244
2024,218092.043678,212625.702874
2025,221278.043678,214676.028874
2026,224818.043678,216995.964451
2027,227650.043678,218798.351795
2028,230128.043678,220345.353327
2029,233668.043678,222686.122545
2030,235438.043678,223721.868068
2031,239332.043678,226338.054339
2032,,
2033,,
2034,,
2035,,
2036,,
