year,Base case cost,Holy cross power plant heat recovery for water distribution system
2019,194372.667133,214148.432461
2020,202514.609472,220452.13787
2021,208532.566853,224882.457624
2022,212780.536769,227754.859545
2023,215612.516713,229384.82387
2024,218090.499164,230719.837941
2025,221276.476601,232707.400946
2026,224816.451531,235031.033659
2027,227648.431475,236742.273154
2028,230126.413926,238156.657507
2029,233666.388856,240537.728049
2030,235436.376321,241357.0667
2031,239330.348744,244090.218009
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
