year,Base case diesel consumed,Modeled solar power (pv)
2016,50582.9563722,49774.0621435
2017,50661.9922415,49859.5691667
2018,50820.0639802,50024.0602899
2019,50899.0998495,50109.4641888
2020,50978.1357189,50194.8171434
2021,51057.1715882,50280.1195613
2022,51136.2074575,50365.3718469
2023,51215.2433269,50450.5744011
2024,51294.2791962,50535.7276218
2025,51373.3150655,50620.8319038
2026,51452.3509349,50705.8876384
2027,51531.3868042,50790.8952141
2028,51610.4226735,50875.8550162
2029,51689.4585429,50960.7674267
2030,51847.5302815,51124.6686943
2031,51926.5661508,51209.4874564
2032,52005.6020202,51294.2599553
2033,52084.6378895,51378.9865611
2034,52163.6737588,51463.6676411
2035,52242.7096282,51548.3035593
