year,Base case cost,Modeled non-residential energy efficiency
2017,303285.36975,350042.508733
2018,323037.009904,365650.822744
2019,350469.843452,388172.698682
2020,363088.946884,397500.593842
2021,372416.11029,403931.820217
2022,378999.990341,407955.706364
2023,383389.243709,410061.605981
2024,387229.840406,411719.698207
2025,392167.750444,414400.186134
2026,397654.317154,417611.69442
2027,402043.570521,419882.069683
2028,405884.167218,421700.782658
2029,411370.733927,425028.527233
2030,414114.017282,425941.213126
2031,420149.240663,429832.37948
