year,Base case cost,Modeled wind power
2019,200542.453407,
2020,212578.825948,
2021,221588.124693,
2022,228067.485261,
2023,232517.204704,
2024,236466.627094,
2025,241454.580808,
2026,246971.284487,
2027,251473.167604,
2028,255471.592234,
2029,261031.765641,
2030,264422.404436,
2031,270537.409646,
2032,276149.746727,
2033,282298.737361,
2034,288465.115886,
2035,292559.173918,
2036,298757.166791,
2037,302352.508487,
2038,308581.325349,
