year,annotation,diesel generation efficiency
2002,,14.13
2003,,13.62
2004,,13.87
2005,,13.37
2006,,11.37
2007,,11.43
2008,,12.85
2009,,12.64
2012,,13.73
2013,,13.07
2014,,10.53
2015,,12.3
2016,start of forecast,11.97
2017,,11.97
2018,,11.97
2019,,11.97
2020,,11.97
2021,,11.97
2022,,11.97
2023,,11.97
2024,,11.97
2025,,11.97
2026,,11.97
2027,,11.97
2028,,11.97
2029,,11.97
2030,,11.97
2031,,11.97
2032,,11.97
2033,,11.97
2034,,11.97
2035,,11.97
2036,,11.97
2037,,11.97
2038,,11.97
2039,,11.97
2040,,11.97
