year,Base case cost,Modeled biomass for heat (cordwood)
2017,185466.510694,202547.1024
2018,196326.990694,210252.741176
2019,211599.540694,221246.376592
2020,218726.730694,226194.126519
2021,223478.190694,229384.242104
2022,227211.480694,231825.577786
2023,229587.210694,233265.684308
2024,231962.940694,234713.425009
2025,234338.670694,236168.620961
2026,237393.180694,238135.620713
2027,239768.910694,239605.207069
2028,242144.640694,241081.736671
2029,244859.760694,242817.308424
2030,246556.710694,243802.716853
2031,249611.220694,245803.638241
2032,,
2033,,
2034,,
2035,,
2036,,
