year,Base case cost,Modeled water and wastewater efficiency
2017,45893.1919671,41093.6955285
2018,47854.6902061,42297.3441477
2019,50654.0941731,44101.8175196
2020,51630.809806,44612.4403971
2021,52318.0029926,44922.2746941
2022,52847.1715708,45124.0535817
2023,53323.9201962,45293.6698719
2024,53663.9363835,45369.2718998
2025,54101.6512601,45518.7875156
2026,54521.1146,45658.3910977
2027,54418.7295004,45428.4119595
2028,54619.8951276,45419.5962625
2029,54907.3594705,45475.8663324
2030,54936.1592842,45351.1837818
2031,55454.1824536,45579.1965711
