year,Base case cost,Modeled solar power (pv)
2016,118603.884233,
2017,141164.302206,
2018,157456.195186,
2019,180394.999575,
2020,190598.731999,
2021,197469.455703,
2022,203111.440152,
2023,206701.793892,
2024,209949.577961,
2025,213534.082951,
2026,217786.79398,
2027,221003.663225,
2028,224208.834969,
2029,227911.039211,
2030,230076.191493,
2031,234647.241655,
2032,239331.81339,
2033,243493.451018,
2034,248555.684927,
2035,251177.763989,
