year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,14829.22,185467.01,158493.41,31063.97,206891.75,158319.14
2018,15592.24,196327.52,167187.98,32262.45,216325.59,165538.17
2019,16676.11,211600.11,179414.72,33977.99,229591.93,175689.93
2020,17072.08,218727.32,177900.89,34558.73,235782.88,176417.92
2021,17347.24,223478.79,181556.41,34970.76,239910.19,179506.06
2022,17559.51,227212.09,184428.61,35287.66,243153.07,181932.46
2023,17741.0,229587.82,186256.37,35582.92,245216.73,183476.53
2024,17876.94,231963.56,188084.14,35787.0,247280.38,185020.6
2025,18045.34,234339.3,189911.9,36056.31,249344.03,186564.67
2026,18213.94,237393.82,184459.43,36307.18,251997.3,184264.68
2027,18201.55,239769.55,186213.02,36217.18,254060.95,185773.65
2028,18290.36,242145.29,187966.61,36329.53,256124.6,187282.63
2029,18410.9,244860.42,181935.14,36496.46,258483.06,184611.66
2030,18435.5,246557.37,183134.72,36500.66,259957.1,185664.44
2031,18636.02,249611.89,185293.96,36818.16,262610.37,187559.43
2032,,,187693.12,,,189664.98
2033,,,189852.37,,,191559.98
2034,,,192251.53,,,193665.53
2035,,,185136.23,,,190287.69
2036,,,187429.42,,,192343.11
