year,Base case cost,Yerrick creek,Yerrick creek hydropower project: construction,"Tetlin, last tetlin village (mice creek)",Dot lake (bear creek),Cathedral rapids,Tok (clearwater creek)
2020,2029800.03681,,2681423.61726,,,,
2021,2123833.14936,11843050.8705,2744920.84228,3600391.20139,3293583.0873,9341940.7906,3891427.32874
2022,2195889.54458,11891618.1215,2793488.09326,3670678.72024,3356833.45029,9337519.02578,3958119.57042
2023,2246400.01737,11925686.1933,2827556.16507,3719950.97957,3401179.70051,9334494.78653,4004875.13572
2024,2282409.08429,11949950.6881,2851820.65987,3755075.6083,3432785.75131,9332264.77343,4038202.12586
2025,2332901.13493,11984000.3378,2885870.30953,3804329.44548,3477113.57938,9329222.11204,4084939.26901
2026,2390627.59198,12022935.4794,2924805.45119,3860640.80143,3527795.21064,9325766.04106,4138374.40322
2027,2441099.09484,12056964.5813,2958834.55308,3909874.09083,3572102.49093,9322702.83188,4185090.99859
2028,2477074.86018,12081195.7745,2983065.74629,3944965.41798,3603675.24015,9320439.5172,4218384.68716
2029,2535018.13176,12120347.7307,3022217.70248,4001493.58847,3654573.68594,9317200.26075,4272036.6359
2030,2571232.6765,12144817.7033,3046687.6751,4036823.69502,3686385.21456,9315175.72546,4305569.10386
2031,2628918.74654,12183712.458,3085582.42974,4093094.66396,3737026.4588,9311679.26746,4358963.85105
2032,2693834.97172,12227488.4534,3129358.4251,4156418.90041,3794017.25497,9307765.14861,4419052.33804
2033,2751228.413,12266090.5792,3167960.55098,4212397.24059,3844365.87046,9303976.06185,4472154.45648
2034,2816113.46224,12309835.3987,3211705.3704,4275690.3011,3901325.49068,9300030.76705,4532211.76752
2035,2859269.78464,12338898.2345,3240768.20626,4317785.29767,3939198.19374,9297300.19343,4572149.59779
2036,2924131.45193,12382619.672,3284489.64372,4381054.97622,3996134.432,9293331.51667,4632183.52687
2037,2967268.64363,12411663.3771,3313533.34888,4423130.8421,4033988.00436,9290581.81235,4672102.22645
2038,3032403.80898,12455658.3127,3357528.2844,4486674.01871,4091197.74069,9286886.63365,4732409.6536
2039,3082762.65331,12489574.756,3391444.72776,4535794.64958,4135392.36245,9283710.76595,4779013.59044
2040,3162054.87204,12543028.9161,3444898.88782,4613141.1043,4204997.94572,9278877.00863,4852405.24026
2041,3161745.23822,12542719.2823,3444589.254,4612831.47048,4204688.3119,9278567.37481,4852095.60644
2042,3161435.6044,12542409.6484,3444279.62018,4612521.83666,4204378.67808,9278257.74099,4851785.97262
2043,3161125.97058,12542100.0146,3443969.98636,4612212.20284,4204069.04426,9277948.10717,4851476.3388
2044,3160816.33676,12541790.3808,3443660.35254,4611902.56902,4203759.41044,9277638.47335,4851166.70498
2045,3160816.33676,12541790.3808,3443660.35254,4611902.56902,4203759.41044,9277638.47335,4851166.70498
2046,3160506.70294,12541480.747,3443350.71872,4611592.93521,4203449.77662,9277328.83954,4850857.07116
2047,3160197.06912,12541171.1132,3443041.0849,4611283.30139,4203140.1428,9277019.20572,4850547.43734
2048,3159887.4353,12540861.4793,3442731.45108,4610973.66757,4202830.50899,9276709.5719,4850237.80352
2049,3159577.80148,12540551.8455,3442421.81727,4610664.03375,4202520.87517,9276399.93808,4849928.16971
2050,3159268.16767,12540242.2117,3442112.18345,4610354.39993,4202211.24135,9276090.30426,4849618.53589
