year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.45
2001,,,1.34
2003,,1.26,1.55
2004,,1.53,2.12
2005,,2.13,2.45
2008,,3.19,4.09
2009,,2.12,4.45
2010,,2.64,4.0
2011,,3.94,3.68
2012,,3.82,4.1
2013,,3.77,4.38
2014,,,4.43
2016,start of forecast,1.6,3.15
2017,,1.96,3.51
2018,,2.23,3.78
2019,,2.62,4.17
2020,,2.8,4.35
2021,,2.93,4.48
2022,,3.03,4.58
2023,,3.1,4.65
2024,,3.15,4.7
2025,,3.22,4.77
2026,,3.3,4.85
2027,,3.37,4.92
2028,,3.42,4.97
2029,,3.5,5.05
2030,,3.55,5.1
2031,,3.63,5.18
2032,,3.72,5.27
2033,,3.8,5.35
2034,,3.89,5.44
2035,,3.95,5.5
2036,,4.04,5.59
2037,,4.1,5.65
2038,,4.19,5.74
2039,,4.26,5.81
2040,,4.37,5.92
