year,Base case cost,Tok wind construction_vwp,Chisana mountain wind feasibility project,Modeled wind power
2019,1899498.53017,2473843.10121,2473843.10121,2473843.10121
2020,2029800.03681,2574549.31219,2574549.31219,2574549.31219
2021,2123833.14936,2647208.04454,2647208.04454,2647208.04454
2022,2195889.54458,2702822.60884,2702822.60884,2702822.60884
2023,2246400.01737,2741823.79999,2741823.79999,2741823.79999
2024,2282409.08429,2769611.95145,2769611.95145,2769611.95145
2025,2332901.13493,2808594.72044,2808594.72044,2808594.72044
2026,2390627.59198,2853167.71276,2853167.71276,2853167.71276
2027,2441099.09484,2892129.93397,2892129.93397,2892129.93397
2028,2477074.86018,2919884.78385,2919884.78385,2919884.78385
2029,2535018.13176,2964674.5907,2964674.5907,2964674.5907
2030,2571232.6765,2992668.21998,2992668.21998,2992668.21998
2031,2628918.74654,3037200.82528,3037200.82528,3037200.82528
2032,2693834.97172,3087319.40264,3087319.40264,3087319.40264
2033,2751228.413,3131559.37918,3131559.37918,3131559.37918
2034,2816113.46224,3181646.78059,3181646.78059,3181646.78059
2035,2859269.78464,3214938.00444,3214938.00444,3214938.00444
2036,2924131.45193,3265002.02389,3265002.02389,3265002.02389
2037,2967268.64363,3298274.11705,3298274.11705,3298274.11705
2038,3032403.80898,3348611.63456,3348611.63456,3348611.63456
