year,Base case diesel consumed,Modeled solar power (pv)
2016,725282.856681,715361.483602
2017,725141.147839,715299.145745
2018,725070.293418,715307.027341
2019,724999.438997,715314.279049
2020,724928.584576,715320.905908
2021,724857.730156,715326.912916
2022,724716.021314,715261.450613
2023,724645.166893,715266.232757
2024,724574.312472,715270.40981
2025,724503.458051,715273.98661
2026,724432.603631,715276.967961
2027,724361.74921,715279.358625
2028,724290.894789,715281.163329
2029,724290.894789,715353.241181
2030,724290.894789,715424.74241
2031,724220.040368,715424.817208
2032,724149.185947,715424.324572
2033,724007.477106,715352.414622
2034,723936.622685,715350.800701
2035,723865.768264,715348.632856
