year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,39913.53,3397732.08,3975015.88,-45127.39,-1337557.67,-1111034.05
2018,42950.64,3657372.23,4186949.36,-41800.79,-1240457.06,-1027148.01
2019,47357.19,4032408.0,4497414.62,-37044.46,-1100200.63,-908145.26
2020,49370.17,4205501.43,4630888.95,-34830.02,-1035466.89,-852015.45
2021,50809.11,4330513.35,4713272.05,-33219.47,-988714.74,-809684.51
2022,51907.71,4426676.37,4778530.04,-31976.28,-952751.56,-777752.44
2023,52661.44,4493990.48,4809720.78,-31094.0,-927577.32,-753579.18
2024,53192.49,4542071.99,4832885.37,-30458.98,-909595.73,-736602.14
2025,53949.89,4609386.1,4872020.41,-29585.46,-884421.5,-713912.78
2026,54822.24,4686316.51,4918839.66,-28595.97,-855650.95,-688460.91
2027,55578.01,4753630.63,4947863.13,-27726.32,-830476.72,-664961.88
2028,56106.25,4801712.13,4969537.72,-27097.68,-812495.12,-648448.38
2029,57011.89,4878642.55,5033780.73,-26140.11,-783724.57,-625486.75
2030,57574.51,4926724.06,5073932.61,-25539.11,-765742.98,-611135.73
2031,58462.41,5003654.47,5128545.66,-24569.36,-736972.43,-587214.59
2032,,,5181152.76,,,-559590.17
2033,,,5215377.11,,,-534101.2
2034,,,5256773.95,,,-506008.91
2035,,,5273808.76,,,-486611.51
2036,,,5323962.63,,,-459750.29
