year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4700.78061078,3055.50739701
2018,4745.85723895,3084.80720532
2019,4791.32316777,3114.36005905
2020,4848.34885833,3151.42675792
2021,4906.4314179,3189.18042163
2022,4947.94813841,3216.16628997
2023,4986.50261001,3241.22669651
2024,5035.55586202,3273.11131031
2025,5124.09434315,3330.66132305
2026,5169.68501266,3360.29525823
2027,5213.48818908,3388.7673229
2028,5249.84530527,3412.39944843
2029,5296.60387672,3442.79251987
2030,5344.09581382,3473.66227898
2031,5391.40954992,3504.41620745
