year,Base case cost,Modeled non-residential energy efficiency
2017,652935.223464,696298.9327
2018,690010.04334,728282.973143
2019,740678.963836,772941.633825
2020,764159.683091,792420.43293
2021,780225.438371,805071.109544
2022,792583.711662,814333.587041
2023,801234.502967,820206.623316
2024,808649.466942,824983.135567
2025,817300.258246,830956.069447
2026,827186.87688,838124.268155
2027,835837.668184,844192.471802
2028,842016.80483,848012.512119
2029,851903.423463,855318.6372
2030,858082.560109,859227.404412
2031,867969.178743,866620.176857
