year,Base case diesel consumed,Modeled transmission and interties
2021,22489.1648368,-63335.4093021
2022,22489.1648368,-63335.4093021
2023,22489.1648368,-63335.4093021
2024,22489.1648368,-63335.4093021
2025,22489.1648368,-63335.4093021
2026,22489.1648368,-63335.4093021
2027,22489.1648368,-63335.4093021
2028,22489.1648368,-63335.4093021
2029,22489.1648368,-63335.4093021
2030,22489.1648368,-63335.4093021
2031,22489.1648368,-63335.4093021
2032,22489.1648368,-63335.4093021
2033,22489.1648368,-63335.4093021
2034,22489.1648368,-63335.4093021
2035,22489.1648368,-63335.4093021
2036,22489.1648368,-63335.4093021
2037,22489.1648368,-63335.4093021
2038,22489.1648368,-63335.4093021
2039,22489.1648368,-63335.4093021
2040,22489.1648368,-63335.4093021
