year,Base case cost,Modeled residential energy efficiency
2017,569735.020755,568359.546027
2018,598872.482789,591230.796308
2019,646989.587355,631498.307256
2020,674223.427131,654177.044305
2021,695884.620485,672211.126832
2022,714810.459824,687993.3537
2023,730886.264455,701408.107559
2024,746092.758746,714139.508461
2025,762512.605456,727973.636315
2026,780184.031483,742947.845684
2027,796973.404869,757223.342319
2028,811743.826992,769810.240505
2029,829975.914183,785449.120121
2030,845039.409187,798395.99937
2031,854032.659785,804861.382418
2032,873873.11067,822057.646943
2033,892793.282018,838512.263844
2034,913079.713375,856215.361485
2035,930070.129553,871095.339219
2036,950777.056784,889276.966323
