year,Base case diesel consumed,Modeled wind power
2019,229417.65529,152634.400634
2020,229506.096945,152722.84229
2021,229506.096945,152722.84229
2022,229594.538601,152811.283946
2023,229682.980257,152899.725601
2024,229771.421913,152988.167257
2025,229859.863569,153076.608913
2026,229948.305225,153165.050569
2027,230036.746881,153253.492225
2028,230125.188536,153341.933881
2029,230213.630192,153430.375537
2030,230302.071848,153518.817192
2031,230478.95516,153695.700504
2032,230567.396816,153784.14216
2033,230567.396816,153784.14216
2034,230744.280127,153961.025472
2035,230832.721783,154049.467128
2036,230921.163439,154137.908783
2037,231009.605095,154226.350439
2038,231098.046751,154314.792095
