year,Base case diesel consumed,Modeled solar power
2020,229506.096945,226698.577157
2021,229506.096945,226721.037315
2022,229594.538601,226831.759448
2023,229682.980257,226942.303337
2024,229771.421913,227052.670408
2025,229859.863569,227162.862076
2026,229948.305225,227272.879744
2027,230036.746881,227382.724804
2028,230125.188536,227492.398636
2029,230213.630192,227601.902611
2030,230302.071848,227711.238088
2031,230478.95516,227908.848069
2032,230567.396816,228017.850582
2033,230567.396816,228038.246952
2034,230744.280127,228235.363463
2035,230832.721783,228343.876452
2036,230921.163439,228452.22887
2037,231009.605095,228560.422003
2038,231098.046751,228668.457123
2039,231098.046751,228687.89384
