year,Base case cost,Modeled wind power
2019,958965.79911,1054858.75636
2020,1025892.25335,1089642.23067
2021,1074088.5337,1112309.93115
2022,1108941.62144,1126642.62585
2023,1134633.92247,1135216.62233
2024,1155750.25222,1141010.74988
2025,1179181.10011,1148508.96587
2026,1209528.08548,1160707.12008
2027,1235297.33075,1170110.25875
2028,1256483.52941,1176708.82361
2029,1286894.19277,1189502.24023
2030,1303509.72666,1193473.41531
2031,1334473.15038,1207153.5414
2032,1367264.66312,1222022.22848
2033,1399544.09867,1236536.18952
2034,1432921.97959,1252302.25913
2035,1454246.14723,1260167.95499
2036,1489441.50418,1277247.4514
2037,1510802.81732,1285439.94743
2038,1546045.93276,1302850.06821
