year,Base case cost,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study – phase ii--option 1
2021,1074088.5337,1100422.27364,1096222.35041,1086628.99205,1117007.35329,498788.103234,1205315.03734,1215711.91852,1237475.93529,533590.195007
2022,1108941.62144,1103845.14131,1091996.4527,1104920.20012,1132992.57244,494792.385562,1230756.10315,1221798.24448,1251901.62498,529068.578692
2023,1134633.92247,1103441.16672,1085272.30534,1116865.1426,1142940.9781,489978.700947,1248278.59843,1223267.39775,1260212.12019,523719.324159
2024,1155750.25222,1101268.13622,1077476.05209,1125714.93959,1149962.99232,484853.072102,1261904.44312,1222576.00705,1265579.73036,518060.173882
2025,1179181.10011,1100429.59829,1070764.61822,1136361.43132,1158739.76939,480190.183702,1277681.28198,1223425.97907,1272779.02525,512883.569401
2026,1209528.08548,1103000.46201,1066581.34459,1152072.70939,1172398.73481,476513.07338,1299647.97149,1228291.07364,1284999.36948,508724.283793
2027,1235297.33075,1103780.80641,1061299.90623,1164676.7201,1183117.21273,472509.215737,1317708.04917,1230973.64334,1294259.53841,504239.330528
2028,1256483.52941,1102759.06561,1054907.27671,1174164.86653,1190885.97876,468169.161685,1331853.60476,1231461.95781,1300549.29249,499418.952605
2029,1286894.19277,1106176.19809,1051752.87817,1190351.21436,1205098.4614,465073.663558,1354209.50901,1237193.88453,1313450.07976,495879.776622
2030,1303509.72666,1103607.3733,1044560.67045,1196863.41831,1210081.7577,460570.365279,1364553.8475,1235749.32005,1316973.01078,490908.861223
2031,1334473.15038,1108068.90108,1042565.38317,1213860.96882,1225154.72484,458353.001336,1387667.01903,1242538.56031,1330814.0192,488272.004072
2032,1367264.66312,1113335.65417,1041115.65234,1232146.26583,1241469.21247,456083.597587,1412426.93611,1250338.77041,1345966.5222,485600.805158
2033,1399544.09867,1118321.98012,1039439.54656,1250041.25929,1257416.61731,453455.427274,1436771.1362,1257864.64021,1360789.51297,482582.235077
2034,1432921.97959,1124632.97214,1039140.89224,1269153.61766,1274604.06359,452075.419717,1462307.88339,1266721.12029,1376889.23517,480822.956065
2035,1454246.14723,1125411.53603,1034936.44958,1279653.58854,1283551.28777,448973.501621,1477282.89497,1269053.41905,1384627.05618,477322.488192
2036,1489441.50418,1132716.59025,1035418.72734,1300147.92711,1302094.48122,447662.841178,1504538.74052,1279114.94662,1402184.84775,475660.065736
2037,1510802.81732,1133958.72499,1031777.35578,1310909.20647,1311345.75906,444880.285396,1519728.27908,1281922.021,1410295.88294,472499.937014
2038,1546045.93276,1141727.96869,1032820.99122,1331670.21267,1330197.36348,443892.985792,1547205.10722,1292458.68021,1428229.62506,471181.360589
2039,1571466.71791,1144916.0997,1030590.47008,1345374.66512,1342292.57124,441364.807169,1566063.24938,1297621.45979,1439313.55045,468307.672423
2040,1611369.82419,1155222.3272,1033633.71947,1369674.35284,1364582.65858,441226.095545,1597805.23517,1311104.56126,1460813.18992,467869.278506
