year,Base case cost,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study – phase ii--option 1
2041,1611986.26254,1147854.74933,1024403.18599,1366093.7591,1360201.74145,436558.552466,1595100.53723,1303527.19498,1455137.3714,462808.983415
2042,1612602.70088,1140674.29685,1015403.44092,1362611.5333,1355937.94985,432014.852702,1592473.67842,1296141.871,1449609.02765,457881.736764
2043,1613219.13922,1133676.58392,1006629.07505,1359225.3699,1351788.53859,427592.093627,1589922.83436,1288944.08825,1444224.70217,453084.420179
2044,1613219.13922,1126240.88938,997458.367881,1355316.57917,1347134.38862,422671.002435,1586829.78516,1281313.01301,1438364.5813,447797.55017
2045,1613835.57756,1119595.90727,989119.037514,1352115.83906,1343205.75863,418481.687665,1584425.66765,1274477.22946,1433258.24535,443251.029525
2046,1613835.57756,1112504.67636,980373.169629,1348388.12573,1338767.21535,413788.56939,1581475.90607,1267199.66901,1427669.59859,438209.077388
2047,1614452.0159,1106196.08455,972448.721396,1345364.21904,1335049.13877,409821.884433,1579211.71788,1260709.11475,1422828.3741,433901.734363
2048,1614452.0159,1099433.35973,964108.01178,1341809.19456,1330816.21402,405346.178048,1576398.60601,1253768.69223,1417498.62519,429093.354082
2049,1614452.0159,1092829.13629,955962.787573,1338337.49098,1326682.49845,400975.371047,1573651.42645,1246990.93588,1412293.79229,424397.670229
2050,1615068.45424,1086996.13769,948624.905406,1335563.5938,1323262.10518,397323.44318,1571585.07227,1240988.47155,1407827.386,420428.479812
2051,1615068.45424,1080697.85943,940857.014295,1332252.71927,1319319.88682,393155.11681,1568965.15769,1234524.69941,1402863.67056,415950.326734
2052,1615068.45424,1074547.19705,933271.183102,1329019.44335,1315470.06419,389084.485573,1566406.64735,1228212.42191,1398016.29217,411577.130351
2053,1615068.45424,1068540.69086,925863.144887,1325861.94735,1311710.47181,385109.259787,1563908.10212,1222048.08847,1393282.52425,407306.430792
2054,1615068.45424,1062674.96212,918628.73252,1322778.45515,1308038.99484,381227.203331,1561468.11652,1216028.23154,1388659.70399,403135.825727
2055,1615068.45424,1056946.71141,911563.876696,1319767.2323,1304453.56812,377436.132574,1559085.31809,1210149.46502,1384145.23108,399062.96922
2056,1615068.45424,1051352.71657,904664.603434,1316826.58499,1300952.17485,373733.91504,1556758.3665,1204408.48209,1379736.56613,395085.57029
2057,1615068.45424,1045889.83097,897927.031869,1313954.85909,1297532.84546,370118.468219,1554485.95283,1198802.05343,1375431.22925,391201.391635
2058,1615068.45424,1040554.9818,891347.372198,1311150.43929,1294193.65664,366587.758465,1552266.79888,1193327.0255,1371226.79875,387408.248452
2059,1615068.45424,1035345.16812,884921.923252,1308411.74806,1290932.73003,363139.799695,1550099.65633,1187980.31849,1367120.90955,383704.007035
2060,1615068.45424,1030257.45943,878647.070745,1305737.2449,1287748.23138,359772.652447,1547983.30617,1182758.92491,1363111.25212,380086.583764
2061,1615068.45424,1025288.99395,872519.285144,1303125.42542,1284638.36944,356484.42274,1545916.55799,1177659.90778,1359195.57107,376553.94388
2062,1615068.45424,1020436.97685,866535.119469,1300574.82045,1281601.39487,353273.260891,1543898.24921,1172680.39882,1355371.66376,373104.100215
2063,1615068.45424,1015698.6789,860691.207693,1298083.99528,1278635.5994,350137.360656,1541927.24454,1167817.59712,1351637.37928,369735.11227
2064,1615068.45424,1011071.43483,854984.262615,1295651.54884,1275739.31476,347074.958091,1540002.4353,1163068.76735,1347990.61711,366445.084989
2065,1615068.45424,1006552.64183,849411.074113,1293276.11288,1272910.91182,344084.330613,1538122.73879,1158431.23832,1344429.32596,363232.167752
2066,1615068.45424,1002139.75794,843968.507087,1290956.35115,1270148.79951,341163.795898,1536287.09763,1153902.40127,1340951.50249,360094.553188
2067,1615068.45424,997830.301095,838653.500326,1288690.95887,1267451.42426,338311.711269,1534494.47933,1149479.70892,1337555.19057,357030.476523
2068,1615068.45424,993621.847111,833463.063994,1286478.66171,1264817.26872,335526.47235,1532743.87552,1145160.67338,1334238.47969,354038.21413
2069,1615068.45424,989512.028809,828394.278565,1284318.21528,1262244.85123,332806.512497,1531034.3015,1140942.86529,1330999.50425,351116.082918
2070,1615068.45424,985498.53436,823444.292778,1282208.40431,1259732.72476,330150.301694,1529364.79562,1136823.91205,1327836.44228,348262.439145
