year,Base case diesel consumed,Adak hydroelectric project -- mount reed creek,Adak hydroelectric project -- mount moffet creek,Adak hydroelectric project -- heart lake,Adak hydroelectric project -- lake betty,Adak hydroelectric project -- lake bonnie rose,Adak hydroelectric project -- lake demarie,"Adak (unnamed stream, site #2) -- unnamed creek, 2","Adak (unnamed stream, site #1) -- unnamed creek, 1",Adak hydroelectric feasibility study – phase ii--option 1
2021,229506.096945,108664.45969,78454.0503458,165728.566168,159015.14187,34145.4146821,202652.399769,127797.718899,162036.18281,34723.6143079
2022,229594.538601,108752.901346,78542.4920017,165817.007824,159103.583526,34233.856338,202740.841425,127886.160555,162124.624466,34812.0559638
2023,229682.980257,108841.343002,78630.9336576,165905.44948,159192.025181,34322.2979938,202829.283081,127974.602211,162213.066122,34900.4976196
2024,229771.421913,108929.784658,78719.3753134,165993.891136,159280.466837,34410.7396497,202917.724736,128063.043866,162301.507778,34988.9392755
2025,229859.863569,109018.226314,78807.8169693,166082.332792,159368.908493,34499.1813055,203006.166392,128151.485522,162389.949434,35077.3809313
2026,229948.305225,109106.667969,78896.2586251,166170.774448,159457.350149,34587.6229614,203094.608048,128239.927178,162478.391089,35165.8225872
2027,230036.746881,109195.109625,78984.700281,166259.216104,159545.791805,34676.0646172,203183.049704,128328.368834,162566.832745,35254.264243
2028,230125.188536,109283.551281,79073.1419368,166347.657759,159634.233461,34764.5062731,203271.49136,128416.81049,162655.274401,35342.7058989
2029,230213.630192,109371.992937,79161.5835927,166436.099415,159722.675117,34852.947929,203359.933016,128505.252146,162743.716057,35431.1475548
2030,230302.071848,109460.434593,79250.0252485,166524.541071,159811.116772,34941.3895848,203448.374671,128593.693802,162832.157713,35519.5892106
2031,230478.95516,109637.317905,79426.9085603,166701.424383,159988.000084,35118.2728965,203625.257983,128770.577113,163009.041025,35696.4725223
2032,230567.396816,109725.75956,79515.3502161,166789.866039,160076.44174,35206.7145524,203713.699639,128859.018769,163097.48268,35784.9141782
2033,230567.396816,109725.75956,79515.3502161,166789.866039,160076.44174,35206.7145524,203713.699639,128859.018769,163097.48268,35784.9141782
2034,230744.280127,109902.642872,79692.2335278,166966.74935,160253.325052,35383.5978641,203890.582951,129035.902081,163274.365992,35961.7974899
2035,230832.721783,109991.084528,79780.6751837,167055.191006,160341.766708,35472.0395199,203979.024607,129124.343737,163362.807648,36050.2391457
2036,230921.163439,110079.526184,79869.1168395,167143.632662,160430.208363,35560.4811758,204067.466262,129212.785393,163451.249304,36138.6808016
2037,231009.605095,110167.96784,79957.5584954,167232.074318,160518.650019,35648.9228317,204155.907918,129301.227048,163539.69096,36227.1224575
2038,231098.046751,110256.409496,80046.0001512,167320.515974,160607.091675,35737.3644875,204244.349574,129389.668704,163628.132616,36315.5641133
2039,231098.046751,110256.409496,80046.0001512,167320.515974,160607.091675,35737.3644875,204244.349574,129389.668704,163628.132616,36315.5641133
2040,231186.488407,110344.851151,80134.4418071,167408.95763,160695.533331,35825.8061434,204332.79123,129478.11036,163716.574271,36404.0057692
2041,231274.930063,110433.292807,80222.883463,167497.399286,160783.974987,35914.2477992,204421.232886,129566.552016,163805.015927,36492.447425
2042,231363.371718,110521.734463,80311.3251188,167585.840941,160872.416643,36002.6894551,204509.674542,129654.993672,163893.457583,36580.8890809
2043,231451.813374,110610.176119,80399.7667747,167674.282597,160960.858299,36091.1311109,204598.116198,129743.435328,163981.899239,36669.3307367
2044,231451.813374,110610.176119,80399.7667747,167674.282597,160960.858299,36091.1311109,204598.116198,129743.435328,163981.899239,36669.3307367
2045,231540.25503,110698.617775,80488.2084305,167762.724253,161049.299954,36179.5727668,204686.557853,129831.876984,164070.340895,36757.7723926
2046,231540.25503,110698.617775,80488.2084305,167762.724253,161049.299954,36179.5727668,204686.557853,129831.876984,164070.340895,36757.7723926
2047,231628.696686,110787.059431,80576.6500864,167851.165909,161137.74161,36268.0144226,204774.999509,129920.318639,164158.782551,36846.2140484
2048,231628.696686,110787.059431,80576.6500864,167851.165909,161137.74161,36268.0144226,204774.999509,129920.318639,164158.782551,36846.2140484
2049,231628.696686,110787.059431,80576.6500864,167851.165909,161137.74161,36268.0144226,204774.999509,129920.318639,164158.782551,36846.2140484
2050,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2051,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2052,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2053,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2054,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2055,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2056,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2057,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2058,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2059,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
2060,231717.138342,110875.501087,80665.0917422,167939.607565,161226.183266,36356.4560785,204863.441165,130008.760295,164247.224207,36934.6557043
