year,Base case cost,Modeled solar power
2020,1025892.25335,1041597.4742
2021,1074088.5337,1088720.58071
2022,1108941.62144,1122688.69222
2023,1134633.92247,1147624.991
2024,1155750.25222,1168056.89528
2025,1179181.10011,1190792.31765
2026,1209528.08548,1220379.67271
2027,1235297.33075,1245459.36916
2028,1256483.52941,1266024.47749
2029,1286894.19277,1295724.21015
2030,1303509.72666,1311800.24942
2031,1334473.15038,1342083.14364
2032,1367264.66312,1374183.97974
2033,1399544.09867,1405788.18124
2034,1432921.97959,1438505.9588
2035,1454246.14723,1459309.29071
2036,1489441.50418,1493848.21122
2037,1510802.81732,1514714.67568
2038,1546045.93276,1549329.1613
2039,1571466.71791,1574231.79233
