year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6035.41619273,3923.02052528
2018,6034.87068635,3922.66594613
2019,6033.46575776,3921.75274254
2020,6031.87809397,3920.72076108
2021,6028.75809979,3918.69276487
2022,6024.68448166,3916.04491308
2023,6019.67451437,3912.78843434
2024,6013.91714126,3909.04614182
2025,6007.69010903,3904.99857087
2026,6001.9635067,3901.27627935
2027,5995.28031129,3896.93220234
2028,5988.52450766,3892.54092998
2029,5981.23858303,3887.80507897
2030,5974.68818779,3883.54732207
2031,5967.91753861,3879.1464001
