year,Base case cost,Modeled non-residential energy efficiency
2017,1060874.69604,1052550.20645
2018,1115013.9014,1101468.97379
2019,1190197.43445,1169624.99412
2020,1224466.81549,1200481.01183
2021,1249002.40898,1222607.17239
2022,1267697.72994,1239495.41865
2023,1280552.77837,1251145.75061
2024,1290286.56592,1259875.60777
2025,1303141.61434,1271525.93973
2026,1317943.42028,1284922.24312
2027,1330798.46871,1296572.57508
2028,1341706.75962,1306476.93561
2029,1355334.0622,1318698.73564
2030,1364295.5956,1326857.12473
2031,1379097.40154,1340253.42812
