year,Base case diesel consumed,Modeled residential ashp
2017,12769.4577678,6141.47102253
2018,12769.4577678,6141.47102253
2019,10799.4270656,4171.44032031
2020,10799.4270656,4171.44032031
2021,10799.4270656,4171.44032031
2022,10799.4270656,4171.44032031
2023,10799.4270656,4171.44032031
2024,10799.4270656,4171.44032031
2025,10799.4270656,4171.44032031
2026,10799.4270656,4171.44032031
2027,10799.4270656,4171.44032031
2028,8829.39636341,2201.40961809
2029,8829.39636341,2201.40961809
2030,8829.39636341,2201.40961809
2031,8829.39636341,2201.40961809
