year,Base case diesel consumed,Modeled residential energy efficiency
2017,14640.4011853,11120.7296104
2018,14816.6714405,11296.9998656
2019,14981.1903453,11461.5187705
2020,15145.7092502,11626.0376753
2021,15310.228155,11790.5565802
2022,15462.9957095,11943.3241347
2023,15604.0119137,12084.3403389
2024,15745.0281179,12225.356543
2025,15886.044322,12366.3727472
2026,16027.0605262,12507.3889513
2027,16168.0767304,12648.4051555
2028,16320.8442849,12801.17271
2029,16438.3577883,12918.6862135
2030,16567.6226421,13047.9510673
2031,16696.887496,13177.2159211
2032,16849.6550505,13329.9834756
2033,17014.1739553,13494.5023805
2034,17166.9415098,13647.269935
2035,17331.4604147,13811.7888399
2036,17484.2279692,13964.5563944
