year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,18375.6395088,11944.1656807
2018,18442.357606,11987.5324439
2019,18505.065705,12028.2927082
2020,18566.2485367,12068.0615489
2021,18626.5226135,12107.2396988
2022,18682.5491613,12143.6569548
2023,18736.4392675,12178.6855238
2024,18788.7720798,12212.7018519
2025,18841.7761165,12247.1544757
2026,18895.1351147,12281.8378246
2027,18949.3561625,12317.0815056
2028,19003.6132402,12352.3486061
2029,19047.9674238,12381.1788254
2030,19094.6141787,12411.4992162
2031,19144.2594248,12443.7686261
