year,Base case diesel consumed,Modeled non-residential ashp
2017,3123285.58619,3123285.58619
2018,3160889.9073,3160889.9073
2019,3195987.27367,3195987.27367
2020,3231084.64004,3231084.64004
2021,3266182.00641,3266182.00641
2022,3298772.41803,3298772.41803
2023,3328855.87492,3328855.87492
2024,3358939.33181,3358939.33181
2025,3389022.7887,3389022.7887
2026,3419106.24559,3419106.24559
2027,3449189.70248,3449189.70248
2028,3481780.1141,3481780.1141
2029,3506849.66151,3506849.66151
2030,3534426.16366,3534426.16366
2031,3562002.66581,3562002.66581
