year,annotation,Average Load
2003,,5137.0
2004,,4726.0
2005,,5072.0
2006,,4675.0
2007,,5045.0
2008,,5278.0
2009,,5490.0
2010,,5621.0
2011,,5714.0
2012,,5660.0
2013,,5737.0
2014,,5861.0
2015,start of forecast,5750.0
2016,,5766.0
2017,,5780.0
2018,,5794.0
2019,,5808.0
2020,,5821.0
2021,,5833.0
2022,,5845.0
2023,,5857.0
2024,,5868.0
2025,,5879.0
2026,,5890.0
2027,,5902.0
2028,,5913.0
2029,,5922.0
2030,,5932.0
2031,,5943.0
2032,,5955.0
2033,,5968.0
2034,,5980.0
2035,,5993.0
2036,,6006.0
2037,,6017.0
2038,,6030.0
2039,,6043.0
2040,,6056.0
