year,Base case diesel consumed,Modeled transmission and interties
2021,57013.2576747,0.0
2022,57426.8967872,0.0
2023,57840.5358997,0.0
2024,58323.1148643,0.0
2025,58874.633681,0.0
2026,59288.2727935,0.0
2027,59770.8517581,0.0
2028,60253.4307227,0.0
2029,60736.0096873,0.0
2030,61218.5886519,0.0
2031,61701.1676165,0.0
2032,62183.7465811,0.0
2033,62597.3856936,0.0
2034,63079.9646582,0.0
2035,63631.4834749,0.0
2036,64114.0624395,0.0
2037,64665.5812562,0.0
2038,65354.9797771,0.0
2039,65837.5587417,0.0
2040,66526.9572625,0.0
