year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,64567.1295323,47779.6758539
2018,64567.1295323,47779.6758539
2019,64567.1295323,47779.6758539
2020,64567.1295323,47779.6758539
2021,64567.1295323,47779.6758539
2022,64567.1295323,47779.6758539
2023,64567.1295323,47779.6758539
2024,64567.1295323,47779.6758539
2025,64567.1295323,47779.6758539
2026,64567.1295323,47779.6758539
2027,64567.1295323,47779.6758539
2028,64567.1295323,47779.6758539
2029,64567.1295323,47779.6758539
2030,64567.1295323,47779.6758539
2031,64567.1295323,47779.6758539
