year,Base case cost,Modeled diesel efficiency
2019,188882.096142,374940.404962
2020,202060.638267,386920.897802
2021,211519.185973,395519.577535
2022,218796.476759,402135.296432
2023,224421.279291,407248.753279
2024,229793.072565,412132.20171
2025,236087.281061,417854.209433
2026,243081.918453,424212.970699
2027,249244.451831,429815.27377
2028,254872.011957,434931.237521
2029,261772.201752,441204.137334
2030,266913.046522,445877.63258
2031,274570.195894,452838.677463
2032,282314.209478,459878.689812
2033,289825.895762,466707.495525
2034,297737.433187,473899.802275
2035,304158.49101,479737.127569
2036,312876.624705,487662.703655
2037,319447.971406,493636.655201
2038,328735.548279,502079.906904
