year,Base case cost,Modeled diesel efficiency
2019,94554.3165463,257568.798681
2020,101257.794212,263662.869287
2021,105844.384194,267832.496543
2022,109087.706036,270780.970945
2023,111550.976817,273020.308019
2024,113662.351773,274939.739796
2025,115773.726728,276859.171574
2026,118940.789162,279738.319241
2027,121087.078063,281689.49097
2028,123192.94029,283603.911176
2029,125649.779555,285837.401417
2030,127404.664745,287432.751589
2031,130221.668928,289993.664483
2032,133372.193177,292857.777436
2033,136172.659175,295403.655617
2034,139673.241673,298586.003342
2035,141401.482009,300157.13092
2036,144543.737164,303013.726516
2037,146638.573935,304918.12358
2038,149780.829091,307774.719176
