year,Base case cost,Modeled biomass for heat (pellet)
2017,164736.490077,177969.283029
2018,177690.410077,187219.870788
2019,195733.370077,200104.618024
2020,204523.530077,206381.802575
2021,210537.850077,210676.71832
2022,215164.250077,213980.499662
2023,218402.730077,216293.146602
2024,221178.570077,218275.415408
2025,223954.410077,220257.684213
2026,228118.170077,223231.087421
2027,231356.650077,225543.734361
2028,234132.490077,227526.003167
2029,237370.970077,229838.650107
2030,239684.170077,231490.540778
2031,243847.930077,234463.943986
2032,,
2033,,
2034,,
2035,,
2036,,
