year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,6090.78,353680.0,353680.0
2004,,6090.78,389600.0,389600.0
2005,,6090.78,362400.0,362400.0
2006,,6090.78,342560.0,342560.0
2007,,6090.78,350080.0,350080.0
2008,,6090.78,331280.0,331280.0
2009,,6090.78,358160.0,358160.0
2010,,6090.78,364400.0,364400.0
2011,,6090.78,394120.0,394120.0
2012,,6090.78,396619.0,396619.0
2013,,6090.78,410240.0,410240.0
2014,start of forecast,6090.78,385000.0,385000.0
2015,,6090.78,385000.0,385000.0
2016,,6090.78,385000.0,385000.0
2017,,6090.78,384000.0,384000.0
2018,,6090.78,384000.0,384000.0
2019,,6090.78,384000.0,384000.0
2020,,6090.78,384000.0,384000.0
2021,,6090.78,384000.0,384000.0
2022,,6090.78,383000.0,383000.0
2023,,6090.78,383000.0,383000.0
2024,,6090.78,383000.0,383000.0
2025,,6090.78,383000.0,383000.0
2026,,6090.78,383000.0,383000.0
2027,,6090.78,382000.0,382000.0
2028,,6090.78,382000.0,382000.0
2029,,6090.78,382000.0,382000.0
2030,,6090.78,382000.0,382000.0
2031,,6090.78,381000.0,381000.0
2032,,6090.78,381000.0,381000.0
2033,,6090.78,381000.0,381000.0
2034,,6090.78,381000.0,381000.0
2035,,6090.78,380000.0,380000.0
2036,,6090.78,380000.0,380000.0
2037,,6090.78,380000.0,380000.0
2038,,6090.78,380000.0,380000.0
2039,,6090.78,379000.0,379000.0
2040,,6090.78,379000.0,379000.0
