year,Base case cost,Modeled biomass for heat (pellet)
2017,98222.6666594,113635.36221
2018,107569.066659,120020.142011
2019,120587.266659,129030.8568
2020,126595.666659,133047.533282
2021,130935.066659,135879.928922
2022,134273.066659,138004.134321
2023,136609.666659,139420.004926
2024,138612.466659,140603.638199
2025,140949.066659,142031.134911
2026,143619.466659,143702.360432
2027,145956.066659,145140.944663
2028,147958.866659,146346.759212
2029,150295.466659,147795.917325
2030,151964.466659,148773.938616
2031,154968.666659,150709.419398
2032,,
2033,,
2034,,
2035,,
2036,,
